Publisher,Article,Journal,DOI,Invoice date,Amount paid on APC (incl. VAT),Open Access on pub?,Correct licence on pub?,Access charges on pub?,Open Access?,Correct licence?,Access charges?,Problem-free OA publication
Elsevier,Synthesis of azafluorenones and related compounds using deprotocupration-aroylation followed by intramolecular direct arylation,Tetrahedron,10.1016/j.tet.2013.09.030,"Friday, 20 September 13","£1,189.69",Y,Y,N,Y,Y,N,Y
Elsevier,Late Quaternary ice flow in a West Greenland fjord and cross-shelf trough system: submarine landforms from Rink Isbrae to Uummannaq shelf and slope,Quaternary Science Reviews,10.1016/j.quascirev.2013.09.007,"Tuesday, 24 September 13","£1,638.47",Y,Y,N,Y,Y,N,Y
Elsevier,Increased impulsivity retards the transition to dorsolateral striatal dopamine control of cocaine seeking,Biological Psychiatry,10.1016/j.biopsych.2013.09.011,"Wednesday, 25 September 13","£2,513.45",Y,N,Y,Y,N,N,N
Elsevier,"BDNF in the dentate gyrus is required for consolidation of ""pattern-separated"" memories",Cell Reports,10.1016/j.celrep.2013.09.027,"Wednesday, 13 November 13","£3,773.58",Y,Y,N,Y,Y,N,Y
Elsevier,Neuroanatomical abnormalities and cognitive impairments are shared by adults with Attention-Deficit/Hyperactivity Disorder and their unaffected first degree relatives,Biological Psychiatry,10.1016/j.biopsych.2013.09.025,"Friday, 11 October 13","£2,350.40",Y,N,Y,Y,N,N,N
Elsevier,"The campsite dykes: a window into the early post-solidification history of the Skaergaard Intrusion, East Greenland",Lithos,10.1016/j.lithos.2013.10.007,"Friday, 18 October 13","£2,541.62",Y,Y,N,Y,Y,N,Y
Elsevier,The Rumsfeld paradox: Some of the things we know that we donÍt know about plant virus infection,Current Opinion in Plant Biology,10.1016/j.pbi.2013.06.004,"Tuesday, 29 October 13","£2,760.74",Y,N,N,Y,Y,N,N
Elsevier,A fate-map for cranial sensory ganglia in the sea lamprey,Developmental Biology,10.1016/j.ydbio.2013.10.021,"Thursday, 31 October 13","£1,386.34",Y,Y,N,Y,Y,N,Y
Elsevier,Do political factors matter in explaining under- and overweight outcomes in developing countries?,Journal of Socio-Economics,10.1016/j.socec.2013.06.002,"Tuesday, 19 November 13","£1,325.15",Y,N,N,Y,N,N,N
Elsevier,Single digit Arabic numbers do not automatically activate magnitude representations in adults or in children,Acta Psychologica,10.1016/j.actpsy.2013.08.006,"Saturday, 28 September 13","£1,415.64",Y,N,N,Y,N,N,N
Elsevier,Asymmetry in stimulus and response conflict processing across the lifespan,Cortex,10.1016/j.cortex.2013.08.017,"Thursday, 12 September 13","£1,730.22",Y,N,N,Y,N,N,N
Elsevier,Chromosome instability and carcinogenesis: Insights from murine models of human pancreatic cancer associated with BRCA2 inactivation,Molecular Oncology,10.1016/j.molonc.2013.10.005,"Friday, 22 November 13","£2,195.12",Y,N,N,Y,N,N,N
Elsevier,Fluid flow and CO2-fluid-mineral interactions during CO2-storage in sedimentary basins,Chemical Geology,10.1016/j.chemgeo.2013.11.012,"Tuesday, 26 November 13","£1,155.27",Y,N,N,Y,N,N,N
Elsevier,Pure shear stress reversal on a Cu-based bulk metallic glass reveals a Bauschinger-type effect,Journal of Alloys and Compounds,10.1016/j.jallcom.2013.11.104,"Monday, 9 December 13","£1,591.08",Y,Y,N,Y,Y,N,Y
Elsevier,A comparison of methods currently used in inclusive design,Applied Ergonomics,10.1016/j.apergo.2013.11.005,"Friday, 6 December 13","£2,291.14",Y,N,N,Y,N,N,N
Elsevier,Nanomagnetic intergrowths in Fe-Ni meteoritic metal: the potential for time-resolved records of planetesimal dynamo fields,Earth and Planetary Science Letters,10.1016/j.epsl.2013.12.004,"Wednesday, 25 December 13","£1,472.10",Y,Y,N,Y,Y,N,Y
Elsevier,A literature and practice review to develop Sustainable Business Model Archetypes,Journal of Cleaner Production,10.1016/j.jclepro.2013.11.039,"Tuesday, 24 December 13","£2,428.97",Y,N,N,Y,N,N,N
Elsevier,Indentation size effect in metallic glasses: mean pressure at the initiation of plastic flow,Journal of Alloys and Compounds,10.1016/j.jallcom.2013.12.058,"Wednesday, 25 December 13","£1,533.44",Y,N,N,Y,Y,N,N
Elsevier,Component level strategies for exploiting the lifespan of steel in products,"Resources, Conservation and Recycling",10.1016/j.resconrec.2013.11.014,"Monday, 13 January 14","£2,408.89",Y,N,N,Y,N,N,N
Elsevier,Adsorption of Aerosol-OT at the Calcite/Water Interface - Comparison of the sodium and calcium salts,Journal of Colloid and Interface Science,10.1016/j.jcis.2013.11.046,"Tuesday, 7 January 14","£1,980.11",Y,Y,N,Y,Y,N,Y
Elsevier,A meta-analysis of sex differences in human brain structure,Neuroscience and Biobehavioral Reviews,10.1016/j.neubiorev.2013.12.004,"Monday, 13 January 14","£2,189.90",Y,Y,N,Y,Y,N,Y
Elsevier,13C-labelled microdialysis studies of cerebral metabolism in TBI patients,European Journal of Pharmaceutical Sciences,10.1016/j.ejps.2013.12.012,"Monday, 6 January 14","£1,840.13",Y,Y,N,Y,Y,N,Y
Elsevier,Fuel Cycle Modelling of Open Cycle Thorium-Fuelled Nuclear Energy Systems,Annals of Nuclear Energy,10.1016/j.anucene.2014.01.042,"Monday, 17 February 14","£1,386.16",Y,Y,N,Y,Y,N,Y
Elsevier,No evidence of temporal preferences in caching by Western scrub-jays (Aphelocoma californica),Behavioural Processes,10.1016/j.beproc.2013.12.010,"Wednesday, 15 January 14","£1,338.27",Y,Y,N,Y,Y,N,Y
Elsevier,Self-reported sleep patterns in a British population cohort,Sleep Medicine,10.1016/j.sleep.2013.10.015,"Sunday, 23 February 14","£1,827.96",Y,Y,N,Y,Y,N,Y
Elsevier,An experimental framework for improved selection of binding proteins using SNAP display,Journal of Immunological Methods,10.1016/j.jim.2014.01.006,"Monday, 27 January 14","£2,180.61",Y,N,N,Y,N,N,N
Elsevier,Ink-jet printing of weakly elastic polymer solutions,Journal of Non-Newtonian Fluid Mechanics,10.1016/j.jnnfm.2014.01.002,"Monday, 27 January 14","£1,816.05",Y,Y,N,Y,Y,N,Y
Elsevier,On the relevance of kinking to reversible hysteresis in MAX phases,Acta Materialia,10.1016/j.actamat.2014.01.045,"Friday, 31 January 14","£2,198.19",Y,Y,N,Y,Y,N,Y
Elsevier,Constraining fault friction in oceanic lithosphere using the dip angles of newly-formed faults at outer rises,Earth and Planetary Science Letters,10.1016/j.epsl.2014.02.024,"Friday, 21 February 14","£1,744.64",Y,Y,N,Y,Y,N,Y
Elsevier,"An explanation for the age independence of oceanic elastic thickness estimates from flexural profiles at subduction zones, and implications for continental rheology",Earth and Planetary Science Letters,10.1016/j.epsl.2014.02.027,"Thursday, 20 February 14","£1,750.70",Y,Y,N,Y,Y,N,Y
Elsevier,Reconstructing the deep CO2 degassing behaviour of large basaltic fissure eruptions,Earth and Planetary Science Letters,10.1016/j.epsl.2014.02.031,"Friday, 21 February 14","£1,740.46",Y,Y,N,Y,Y,N,Y
Elsevier,The user-value of rural electrification: an analysis and adoption of existing models and theories,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2014.03.005,"Wednesday, 12 March 14","£2,453.44",Y,Y,N,Y,Y,N,Y
Wiley,Comparison and calibration of nonheating paleointensity methods : A case study using dusty olivine,"Geochemistry, Geophysics, Geosystems",10.1002/ggge.20141,"Thursday, 6 June 13","£2,709.68",Y,N,N,Y,N,N,N
Wiley,Overcoming the limitations of fragment merging: rescuing a strained merged fragment series targeting Mycobacterium tuberculosis CYP121,ChemMedChem,10.1002/cmdc.201300219,"Monday, 17 June 13","£2,173.28",Y,N,N,Y,Y,N,N
Wiley,Direct measurements of densification rates in polar snow and the implications for altimetry,Journal of Geophysical Research: Earth Surface,10.1002/2013JF002898,"Thursday, 23 January 14","£2,545.45",Y,Y,N,Y,Y,N,Y
Wiley,Unusual Acetylation_Elimination in the Formation of Tetronate Antibiotics,Angewandte Chemie International Edition,10.1111/cdev.12155,"Thursday, 11 July 13","£2,432.43",Y,N,N,Y,N,N,N
Wiley,Tissue transglutaminase mediates the pro-malignant effects of oncostatin M receptor over-expression in cervical squamous cell carcinoma,Journal of Pathology,10.1002/path.4222,"Thursday, 19 December 13","£2,152.59",N,N,Y,N,N,Y,N
Wiley,REED WARBLER HOSTS FINE-TUNE THEIR DEFENCES TO TRACK THREE DECADES OF CUCKOO DECLINE,Evolution,10.1111/evo.12213,"Tuesday, 23 July 13","£1,006.54",Y,Y,N,Y,Y,N,Y
Wiley,"Early growth, dominance acquisition and lifetime reproductive success in male and female cooperative meerkats",Ecology and Evolution,10.1002/ece3.820,"Monday, 9 September 13","£1,243.20",Y,N,N,Y,Y,N,N
Wiley,Differential roles of the prefrontal cortical subregions and basolateral amygdala in compulsive cocaine seeking and relapse after voluntary abstinence in rats,European Journal of Neuroscience,10.1111/ejn.12289,"Tuesday, 25 June 13","£2,368.42",Y,Y,N,Y,Y,N,Y
Wiley,Perturbations to the IGF1 growth pathway and adult energy homeostasis following disruption of mouse chromosome 12 imprinting,Acta Physiologica,10.1111/apha.12160,"Friday, 23 August 13","£2,322.58",Y,Y,N,Y,Y,N,Y
Wiley,Scalable One-Step Assembly of an Inexpensive Photoelectrode for Water Oxidation by Deposition of a Ti- and Ni-Containing Molecular Precursor on Nanostructured WO3,Chemistry - A European Journal,10.1002/chem.201302641,"Wednesday, 11 September 13","£2,119.00",Y,Y,N,Y,Y,N,Y
Wiley,Photocatalytic Hydrogen Evolution with a Hydrogenase in a Mediator-Free System under High Levels of Oxygen,Angewandte Chemie International Edition,10.1002/anie.201306214,"Thursday, 17 October 13","£2,991.03",Y,Y,N,Y,Y,N,Y
Wiley,"Maternal, social and abiotic environment effects on growth vary across life stages in a cooperative mammal",Journal of Animal Ecology,10.1111/1365-2656.12149,"Wednesday, 23 October 13","£1,677.02",Y,N,N,Y,N,N,N
Wiley,Two-Dimensional Carrier Distribution in Top-Gate Polymer Field-Effect Transistors: Correlation between Width of Density of Localized States and Urbach Energy,Advanced Materials,10.1002/adma.201303060,"Friday, 11 October 13","£2,264.15",Y,Y,N,Y,Y,N,Y
Wiley,Subdivision Surfaces with Creases and Truncated Multiple Knot Lines,Computer Graphics Forum,10.1111/cgf.12258,"Friday, 18 October 13","£2,236.02",Y,N,N,Y,Y,N,N
Wiley,Cognitive components of a mathematical processing network in 9-year-old children,Developmental Science,10.1111/desc.12144,"Monday, 30 September 13","£2,236.02",Y,Y,N,Y,Y,N,Y
Wiley,Organic field-effect transistors _ The path beyond amorphous silicon,Advanced Materials,10.1002/adma.201304346,"Friday, 21 November 14","£2,157.76",Y,Y,N,Y,Y,N,Y
Wiley,Oncostatin M receptor is a novel therapeutic target in cervical squamous cell carcinoma,Journal of Pathology,10.1002/path.4305,"Tuesday, 26 November 13","£2,163.85",Y,Y,N,Y,Y,N,Y
Wiley,Comparing Distance Metrics For Rotation Using The k-Nearest Neighbours Algorithm For Entropy Estimation,Journal of Computational Chemistry,10.1002/jcc.23504,"Friday, 22 November 13","£2,208.59",Y,N,N,Y,Y,N,Y
Wiley,Structural Effects in Lithiocuprate Chemistry: the Elucidation of Reactive Pentametallic Complexes,Chemistry - A European Journal,10.1002/chem.201304824,"Thursday, 6 February 14","£2,514.06",Y,Y,N,Y,Y,N,Y
Wiley,Total Synthesis of the Antimitotic Marine Macrolide (_)-Leiodermatolide,Angewandte Chemie International Edition,10.1002/anie.201310164,"Wednesday, 5 February 14","£2,930.28",Y,Y,N,Y,Y,N,Y
Wiley,Conjugative transfer frequencies of mef(A) containing Tn1207.3 to macrolide susceptible Streptococcus pyogenes belonging to different emm types,Letters in Applied Microbiology,10.1111/lam.12213,"Wednesday, 8 January 14","£3,365.85",Y,Y,N,Y,Y,N,Y
Wiley,Are power calculations useful? A multicentre neuroimaging study,Human Brain Mapping,10.1002/hbm.22465,"Monday, 13 January 14","£2,210.00",Y,N,N,Y,N,N,N
Wiley,Improved exciton dissociation at semiconducting polymer:ZnO donor:acceptor interfaces via nitrogen doping of ZnO,Advanced Functional Materials,10.1002/adfm.201303994,"Wednesday, 5 February 14","£2,208.32",Y,Y,N,Y,Y,N,Y
Wiley,In-Situ Switching from Barrier-Limited to Ohmic Anodes for Efficient Organic Optoelectronics,Advanced Functional Materials,10.1002/adfm.201303426,"Tuesday, 28 January 14","£2,187.18",Y,Y,N,Y,Y,N,Y
Wiley,Improved Open _ Circuit Voltage in ZnO _ PbSe Quantum Dot Solar Cells by Understanding and Reducing Losses Arising from the ZnO Conduction Band Tail,Advanced Energy Materials,10.1002/aenm.201301544,"Wednesday, 5 February 14","£2,208.32",Y,Y,N,Y,Y,N,Y
Wiley,Domain glass,physica status solidi (b),10.1002/pssb.201350242,"Tuesday, 11 March 14","£2,167.89",Y,N,N,Y,N,N,N
Wiley,"Changes in diet, cardiovascular risk factors and modelled cardiovascular risk",Diabetic Medicine,10.1111/dme.12316,"Tuesday, 18 March 14","£1,854.98",Y,Y,N,Y,Y,N,Y
Wiley,A protocol for the sub-cellular fractionation of Saccharomyces cerevisiae using nitrogen cavitation and density gradient centrifugation,Yeast,10.1002/yea.3002,"Thursday, 13 March 14","£2,160.09",Y,Y,N,Y,Y,N,Y
ACS,A Fully Unsupervised Compartment-on-demand Platform for Precise Nanolitre Assays of Time-Dependent Steady-state Enzyme Kinetics and Inhibition,Analytical Chemistry,10.1021/ac400480z,"Tuesday, 14 May 13","£1,184.21",Y,N,N,Y,Y,N,N
ACS,Peptide Dendrimer/Lipid Hybrid Systems are Efficient DNA Transfection Reagents: Structure-Activity Relationships Highlight the Role of Charge Distribution Across Dendrimer Generations,ACS Nano,10.1021/nn400343z,"Tuesday, 14 May 13","£1,184.21",Y,N,N,Y,Y,N,N
ACS,Total synthesis of aplyronine C,Organic Letters,10.1021/ol401327r,"Friday, 7 June 13","£1,161.29",Y,N,N,Y,Y,N,N
ACS,Cation-Bridging Studied by Specular Neutron Reflection,Langmuir,10.1021/la400767u,"Thursday, 11 July 13","£1,189.46",Y,N,N,Y,Y,N,N
ACS,Single-molecule measurements of transient biomolecular complexes through microfluidic dilution,Analytical Chemistry,10.1021/la400767u,"Thursday, 11 July 13","£1,176.47",Y,N,N,Y,Y,N,N
ACS,Assessing the Accuracy of Inhomogeneous Fluid Solvation Theory In Predicting Hydration Free Energies Of Simple Solutes,Journal of Physical Chemistry B,10.1021/jp4042233,"Wednesday, 17 July 13","£1,184.21",Y,N,N,Y,Y,N,N
ACS,Quantum Effects in the Diffusion of Hydrogen on Ru(0001),Journal of Physical Chemistry Letters,10.1021/jz400622v,"Wednesday, 17 July 13","£1,184.21",Y,N,N,Y,Y,N,N
ACS,Designing Climate Change Mitigation Plans That Add Up,Environmental Science and Technology,10.1021/es400399h,"Wednesday, 12 March 14","£1,164.53",Y,Y,N,Y,Y,N,Y
ACS,"Multimeric complexes between ankyrin repeat and SOCS-box protein 9 (ASB9), ElonginBC and Cullin 5: insights into the structure and assembly of ECS-type Cullin-RING E3 ubiquitin ligases",Biochemistry,10.1021/bi400758h,"Monday, 22 July 13","£1,176.47",Y,N,N,Y,Y,N,N
ACS,A single gD glycoprotein can mediate infection by Herpes Simplex virus,Journal of the American Chemical Society,10.1021/ja4038406,"Monday, 22 July 13","£1,176.47",Y,N,N,Y,Y,N,N
ACS,"Introducing Carbon Diffusion Barriers for Uniform,High Quality Graphene Growth from Solid Sources",Nano Letters,10.1021/nl401601x,"Monday, 23 September 13","£1,111.11",Y,N,N,Y,Y,N,N
ACS,Observing graphene grow: Catalyst-graphene interactions during scalable graphene growth on polycrystalline copper,Nano Letters,10.1021/nl4023572,"Thursday, 14 November 13","£1,118.01",Y,N,N,Y,N,N,N
ACS,Combining Solvent Thermodynamic Profiles with Functionality Maps of the Hsp90 Binding Site to Predict the Displacement of Water Molecules,Journal of Chemical Information and Modeling,10.1021/ci4003409,"Wednesday, 16 October 13","£1,125.00",Y,N,N,Y,Y,N,N
ACS,Engineering Folding Dynamics from Two-State to Downhill: Application to _-Repressor,Journal of Physical Chemistry B,10.1021/jp405904g,"Wednesday, 16 October 13","£1,118.01",Y,N,N,Y,Y,N,N
ACS,Hexadecylamine Adsorption at the Iron Oxide-Oil Interface,Langmuir,10.1021/la4018147,"Friday, 25 October 13","£1,125.00",Y,Y,N,Y,Y,N,N
ACS,"Ca-doping of BiFeO3: the role of strain in determining coupling between ferroelectric displacements, magnetic moments, octahedral tilting and oxygen vacancy ordering",Chemistry of Materials,10.1021/cm402962q,"Wednesday, 18 December 13","£1,111.11",Y,N,N,Y,Y,N,N
ACS,Is NMR fragment screening fine-tuned to assess druggability of protein-protein interactions?,ACS Medicinal Chemistry Letters,10.1021/ml400296c,"Wednesday, 13 November 13","£1,132.08",Y,N,N,Y,Y,N,N
ACS,In-situ SERS monitoring of photochemistry within a nano-junction reactor,Nano Letters,10.1021/nl403164c,"Thursday, 14 November 13","£1,118.01",Y,N,N,Y,Y,N,N
ACS,Electrokinetic assembly of one-dimensional nanoparticle chains with cucurbit[7]uril controlled sub-nanometer junctions,Nano Letters,10.1021/nl403224q,"Thursday, 14 November 13","£1,118.01",Y,N,N,Y,Y,N,N
ACS,Covalent Immobilization of Oriented Photosystem II on a Nanostructured Electrode for Solar Water Oxidation,Journal of the American Chemical Society,10.1021/ja404699h,"Thursday, 10 October 13","£1,118.01",Y,N,N,Y,N,N,N
ACS,Combined diffraction and DFT calculations of halogen bonded co-crystal monolayers,Langmuir,10.1021/la402910a,"Monday, 10 March 14","£1,442.13",Y,Y,N,Y,Y,N,Y
ACS,Adapting data processing to compare model and experiment accurately: a discrete element model and magnetic resonance measurements of a 3D cylindrical fluidized bed,Industrial & Engineering Chemistry Research,10.1021/ie401896x,"Friday, 6 December 13","£1,111.11",Y,N,N,Y,Y,N,N
ACS,Monitoring the electrochemical processes in the lithium-air battery by solid state NMR spectroscopy,Journal of Physical Chemistry C,10.1021/jp410429k,"Thursday, 19 December 13","£1,111.11",Y,N,N,Y,Y,N,N
ACS,Targeting low-druggability bromodomains: Fragment based screening and inhibitor design against the BAZ2B bromodomain,Journal of Medicinal Chemistry,10.1021/jm401582c,"Thursday, 19 December 13","£1,111.11",Y,N,N,Y,Y,N,N
ACS,Direct Observation of Heterogeneous Amyloid Fibril Growth Kinetics via Two-Color Super-Resolution Microscopy,Nano Letters,10.1021/nl4041093,"Thursday, 12 December 13","£1,111.11",Y,N,N,Y,Y,N,N
ACS,A versatile photocatalytic system for H2 Generation in water based on an efficient DuBois-type Nickel catalyst,Journal of the American Chemical Society,10.1021/ja410592d,"Monday, 16 December 13","£1,111.11",Y,N,N,Y,Y,N,N
ACS,One in a million: flow cytometric sorting of single cell-lysate assays in monodisperse picolitre double emulsion droplets for directed evolution,Analytical Chemistry,10.1021/ac403585p,"Friday, 7 February 14","£1,438.50",Y,Y,N,Y,Y,N,Y
ACS,Ultrafast Charge and Energy Transfer Dynamics in Conjugated Polymer: Cadmium Selenide Nanocrystal Blends,ACS Nano,10.1021/nn405978f,"Wednesday, 5 February 14","£1,566.93",Y,Y,N,Y,Y,N,Y
ACS,Phase Transitions in Zeolitic Imidazolate Framework 7: the Im-portance of Framework Flexibility and Guest-Induced Instability,Chemistry of Materials,10.1021/cm500407f,"Thursday, 20 February 14","£1,437.99",Y,Y,N,Y,Y,N,Y
AIP,Alloy content determination of fully strained and partially relaxed semi-polar group III-nitrides by x-ray diffraction,Journal of Applied Physics,10.1063/1.4817422,"Wednesday, 7 August 13","£1,219.23",Y,Y,N,Y,Y,N,Y
AIP,Cryogenic on-chip multiplexer for the study of quantum transport in 256 split-gate devices,Applied Physics Letters,10.1063/1.4811376,"Monday, 17 June 13","£1,692.31",Y,N,N,Y,Y,N,N
AIP,Wavelength limits for InGaN quantum wells on GaN,Applied Physics Letters,10.1063/1.4811560,"Monday, 15 July 13","£1,744.54",Y,N,N,Y,Y,N,N
AIP,A simple model for thermal management in solenoids,Review of Scientific Instruments,10.1063/1.4832041,"Thursday, 7 November 13","£1,641.54",Y,Y,N,Y,Y,N,Y
AIP,Triplet Diffusion in Singlet Exciton Fission Sensitized Pentacene Solar Cells,Applied Physics Letters,10.1063/1.4824420,"Friday, 27 September 13","£1,629.63",Y,Y,N,Y,Y,N,Y
AIP,Polar precursor ordering in BaTiO3 detected by resonant piezoelectric spectroscopy,Applied Physics Letters,10.1063/1.4823576,"Sunday, 13 October 13","£1,883.18",Y,N,N,Y,Y,N,N
American Psychological Association,Executive functions are employed to process episodic and relational memories in children with Autism Spectrum Disorders,Neuropsychology, 10.1037/a0034492,"Friday, 17 January 14","£2,924.51",Y,N,N,Y,Y,N,N
ASBMB,Transcription Factor Reb1p Regulates DGK1-encoded Diacylglycerol Kinase and Lipid Metabolism in Saccharomyces cerevisiae,Journal of Biological Chemistry,10.1074/jbc.M113.507392,"Thursday, 5 September 13","£1,146.50",Y,N,N,Y,Y,N,N
ASBMB,Extracellular Monomeric Tau Protein is Sufficient to Initiate the Spread of Tau Protein Pathology,Journal of Biological Chemistry,10.1074/jbc.M113.515445,"Friday, 6 December 13","£1,463.41",Y,Y,N,Y,Y,N,Y
ASBMB,Distinct roles of the phosphatidate phosphatases lipin 1 and 2 during adipogenesis and lipid droplet biogenesis in 3T3-L1 cells,Journal of Biological Chemistry,10.1074/jbc.M113.488445,"Wednesday, 30 October 13","£1,845.00",Y,N,N,Y,Y,N,N
ASBMB,A novel family of human lymphocyte antigen class II receptors may have its origin in archaic human species,Journal of Biological Chemistry,10.1074/jbc.M113.515767,"Wednesday, 11 December 13","£1,472.39",Y,Y,N,Y,Y,N,Y
