DOI/PMID,Cost type,Cost (€),Article title,Journal title,Publisher,Year of publication,Open Access,Notes
10.1038/cdd.2012.31,Other publication costs, € 758.69 ,A higher spirit: avoiding yeast suicide during alcoholic fermentation.,Cell Death and Differentiation,NATURE PUBLISHING GROUP,2012,,
10.1093/nar/gkt883,Gold Open Access," € 3,096.00 ",A highly sensitive in vivo footprinting technique for condition-dependent identification of cis elements.,Nucleic Acids Research,OXFORD UNIVERSITY PRESS (OUP),2013,OA,
10.4161/rna.23208,Hybrid Open Access, € 669.44 ,A high-throughput screen to identify enhancers of ADAR-mediated RNA-editing.,RNA Biology,LANDES BIOSCIENCE,2013,OA,
10.4161/rna.23208,Other publication costs," € 2,240.40 ",A high-throughput screen to identify enhancers of ADAR-mediated RNA-editing.,RNA Biology,LANDES BIOSCIENCE,2013,OA,
10.1371/journal.pone.0072054,Gold Open Access, € 940.87 ,A Human Antibody to the CD4 Binding Site of gp120 Capable of Highly Potent but Sporadic Cross Clade Neutralization of Primary HIV-1.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1016/j.ccr.2013.07.012,Hybrid Open Access," € 4,460.43 ",A Kinase-Independent Function of CDK6 Links the Cell Cycle to Tumor Angiogenesis.,Cancer Cell,ELSEVIER,2013,OA,
10.1016/j.ccr.2013.07.012,Other publication costs," € 2,066.79 ",A Kinase-Independent Function of CDK6 Links the Cell Cycle to Tumor Angiogenesis.,Cancer Cell,ELSEVIER,2013,OA,
10.1093/nar/gkp037 ,Gold Open Access," € 1,754.97 ",A library-based method to rapidly analyze chromatin accessibility at multiple genomic regions.,Nucleic Acids Research,OXFORD UNIVERSITY PRESS (OUP),2009,OA,
10.1016/j.jcp.2012.10.016,Hybrid Open Access," € 1,986.71 ",A modified and stable version of a perfectly matched layer technique for the 3-d second order wave equation in time domain with an application to aeroacoustics.,Journal of Computational Physics,ELSEVIER,2013,OA,
10.1002/ejic.201201062,Hybrid Open Access," € 2,400.00 ",A Modified Synthetic Pathway for the Synthesis of so far Inaccessible N1-Functionalized Tetrazole Ligands – Synthesis and Characterization of the 1D Chain-Type Spin Crossover Compound [Fe(3ditz)3](BF4)2.,European Journal of Inorganic Chemistry,WILEY-BLACKWELL,2013,OA,
10.1111/1462-2920.12194,Hybrid Open Access," € 2,764.13 ",A morphogenetic survey on ciliate plankton from a mountain lake pinpoints the necessity of lineage-specific barcode markers in microbial ecology.,Environmental Microbiology,WILEY-BLACKWELL,2013,OA,
10.1016/j.radonc.2013.01.012,Hybrid Open Access," € 2,676.26 ",A multicentre comparison of the dosimetric impact of inter- and intra-fractional anatomical variations in fractionated cervix cancer brachytherapy.,Radiotherapy and Oncology,ELSEVIER,2013,OA,
10.1111/pala.12070,Hybrid Open Access," € 2,743.12 ","A new ammonoid fauna from the Carnian (Upper Triassic) Kasimlar Formation of the Taurus Mountains (Anatolia, Turkey).",Palaeontology,WILEY-BLACKWELL,2013,OA,
,Other publication costs," € 1,650.00 ","A new geological map of the crustal-scale detachment on Kea (Western Cyclades, Greece).",Austrian Journal of Earth Sciences,ÖSTERREICHISCHE GEOLOGISCHE GESELLSCHAFT / AUSTRIAN GEOLOGICAL SOCIETY,2012,OA,Open Access but not listed in DOAJ
10.1002/jqs.2645,Hybrid Open Access," € 2,346.22 ","A new radiocarbon chronology of Baumkirchen, stratotype for the onset of the Upper Würmian in the Alps.",Journal of Quaternary Science,WILEY-BLACKWELL,2013,OA,
10.1016/j.biochi.2013.09.005,Hybrid Open Access," € 2,058.96 ",A novel estrogen-regulated avian apolipoprotein.,Biochimie,ELSEVIER,2013,OA,
10.1021/bi301583u,Hybrid Open Access," € 2,077.12 ",A Novel l-Xylulose Reductase Essential for l-Arabinose Catabolism in Trichoderma reesei.,Biochemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1007/s00422-013-0552-8,Hybrid Open Access," € 2,618.00 ",A novel method for the identification of synchronization effects in multichannel ECoG with an application to epilepsy.,Biological Cybernetics,SPRINGER VERLAG,2013,OA,
10.1021/cb400589q,Hybrid Open Access," € 1,969.01 ",A Novel Paramagnetic Relaxation Enhancement Tag for Nucleic Acids: A Tool to Study Structure and Dynamics of RNA.,ACS chemical biology,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1186/1746-4811-9-7,Gold Open Access," € 1,716.00 ",A novel system for in situ determination of heat tolerance of plants: first results on alpine dwarf shrubs.,Plant Methods,BIOMED CENTRAL,2013,OA,
10.1021/ol401285d,Hybrid Open Access," € 2,050.96 ",A Palladium-Catalyzed Carbo-oxygenation: The Bielschowskysin Case.,Organic Letters,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1016/j.apal.2012.02.003,Hybrid Open Access," € 2,709.03 ",A partially non-proper ordinal beyond L(VA+1).,Annals of Pure and Applied Logic,ELSEVIER,2012,OA,
10.1016/j.ympev.2011.03.021,Hybrid Open Access," € 2,709.03 ","A phylogenetic analysis of the boreal lichen Mycoblastus sanguinarius (Mycoblastaceae, lichenized Ascomycota) reveals cryptic clades correlated with fatty acid profiles.",Molecular Phylogenetics and Evolution,ELSEVIER,2011,OA,Immediate OA 30.03.2011
10.5194/gmdd-6-2883-2013,Gold Open Access," € 1,228.08 ","A priori selection and data-based skill assessment of reanalysis data as predictors for daily air temperature on a glaciated, tropical mountain range.",Geoscientific Model Development,COPERNICUS PUBLICATIONS,2013,OA,
10.1016/j.zemedi.2013.07.006,Hybrid Open Access," € 2,676.26 ",A quantitative comparison of the performance of three deformable registration algorithms in radiotherapy.,Zeitschrift für Medizinische Physik,ELSEVIER,2013,OA,
10.1371/journal.pgen.1003418,Gold Open Access," € 1,757.13 ",A Single Cohesin Complex Performs Mitotic and Meiotic Functions in the Protist Tetrahymena.,PLoS Genetics,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1016/j.chemphys.2012.11.006,Hybrid Open Access," € 2,347.93 ",A spectroscopic and computational study of Al(III) complexes in cryolite melts: Effect of cation nature.,Chemical Physics,ELSEVIER,2013,OA,
10.1002/adem.201200172,Other publication costs," € 1,250.00 ",A Statistical-Thermodynamic Modeling of Ordering Phenomena in Binary Intermetallic B2- and L12-Structures.,Advanced Engineering Materials,WILEY-BLACKWELL,2012,,
10.1016/j.abb.2012.04.006,Hybrid Open Access," € 1,986.60 ","A stereochemical switch in the aDrs model system, a candidate for a functional amyloid.",Archives of Biochemistry and Biophysics,ELSEVIER,2012,OA,
10.1093/bib/bbs086,Hybrid Open Access," € 2,730.00 ",A survey of tools for variant analysis of next-generation genome sequencing data.,Briefings in Bioinformatics,OXFORD UNIVERSITY PRESS (OUP),2013,OA,
10.1016/j.molcel.2012.11.011,Hybrid Open Access," € 4,515.25 ",A SWI/SNF Chromatin-Remodeling Complex Acts in Noncoding RNA-Mediated Transcriptional Silencing.,Molecular Cell,ELSEVIER,2012,OA,
10.1016/j.molcel.2012.11.011,Other publication costs, € 761.67 ,A SWI/SNF Chromatin-Remodeling Complex Acts in Noncoding RNA-Mediated Transcriptional Silencing.,Molecular Cell,ELSEVIER,2012,OA,
10.3389/fnhum.2013.00095,Gold Open Access, € 770.00 ,A systematic investigation of the invariance of resting-state network patterns: is resting-state fMRI ready for pre-surgical planning?,Frontiers in Human Neuroscience,FRONTIERS RESEARCH FOUNDATION,2013,OA,
10.1038/nphys2542,Other publication costs," € 1,970.96 ",A universal matter-wave interferometer with optical ionization gratings in the time domain.,Nature Physics,NATURE PUBLISHING GROUP,2013,,
10.1016/j.yexcr.2012.01.021,Hybrid Open Access," € 1,625.49 ",A1/Bfl-1 in leukocyte development and cell death.,Experimental Cell Research,ELSEVIER,2012,OA,
10.1016/j.bpj.2012.12.008,Other publication costs, € 725.55 ,Absolute Hydration Free Energies of Blocked Amino Acids: Implications for Protein Solvation and Stability.,Biophysical Journal,ELSEVIER,2013,,
10.1021/cg4009015,Hybrid Open Access," € 1,969.01 ","Absorbing a Little Water: The Structural, Thermodynamic, and Kinetic Relationship between Pyrogallol and Its Tetarto-Hydrate.",Crystal Growth and Design,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1111/1574-6941.12073,Hybrid Open Access," € 2,400.00 ",Abundance and distribution of archaeal acetyl-CoA/propionyl-CoA carboxylase genes indicative for putatively chemoautotrophic Archaea in the tropical Atlantic's interior.,FEMS Micriobiology Ecology,WILEY-BLACKWELL,2013,OA,
10.4172/2155-6156.1000253,Hybrid Open Access," € 2,871.78 ",Abundance and Diversity of Microbiota in Type 2 Diabetes and Obesity.,Diabetes and Metabolism,OMICS PUBLISHING GROUP,2013,OA,
10.4236/ijaa.2012.22012,Gold Open Access, € 418.69 ,Accretion and Current Discs Controlled by Strong Magnetic Field.,INTERNATIONAL JOURNAL OF ASTRONOMY AND ASTROPHYSICS,SCIENTIFIC RESEARCH PUBLISHING,2012,OA,
10.1016/j.ymeth.2013.03.034,Hybrid Open Access," € 2,676.26 ",Activation induced morphological changes and integrin &#945;IIb&#946;3 activity of living platelets.,Methods,ELSEVIER,2013,OA,
10.1021/jp400255u,Hybrid Open Access," € 2,050.96 ",Active Control of SPR by Thermoresponsive Hydrogels for Biosensor Applications.,Journal of Physical Chemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1074/mcp.M111.015743,Other publication costs," € 1,284.00 ",Adipose Triglyceride Lipase (ATGL) and Hormone-Sensitive Lipase (HSL) Deficiencies Affect Expression of Lipolytic Activities in Mouse Adipose Tissues.,Molecular and Cellular Proteomics,AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY (ASBMB),2012,,
10.1210/en.2010-1477,Hybrid Open Access," € 2,579.59 ",Adipose triglyceride lipase and hormone-sensitive lipase are involved in fat loss in JunB-deficient mice.,Endocrinology,ENDOCRINE SOCIETY,2011,OA,
10.1210/en.2010-1477,Other publication costs," € 1,873.62 ",Adipose triglyceride lipase and hormone-sensitive lipase are involved in fat loss in JunB-deficient mice.,Endocrinology,ENDOCRINE SOCIETY,2011,OA,
10.1194/jlr.M031716,Hybrid Open Access," € 1,498.46 ",Adipose triglyceride lipase is a TG hydrolase of the small intestine and regulates intestinal PPARalpha signaling.,Journal of Lipid Research,AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY (ASBMB),2013,OA,
10.1194/jlr.M031716,Other publication costs, € 828.43 ,Adipose triglyceride lipase is a TG hydrolase of the small intestine and regulates intestinal PPARalpha signaling.,Journal of Lipid Research,AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY (ASBMB),2013,OA,
10.1021/jp404528p,Hybrid Open Access," € 1,969.01 ",Adsorption and Reactions of Carbon Monoxide and Oxygen on Bare and Au-Decorated Carburized W(110).,Journal of Physical Chemistry C,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1063/1.4790403,Hybrid Open Access," € 1,151.68 ",Adsorption of hydrogen on neutral and charged fullerene: Experiment and theory.,Journal of Chemical Physics,AMERICAN INSTITUTE OF PHYSICS (AIP),2013,OA,
10.1021/pr4003323,Hybrid Open Access," € 1,969.01 ",Affinity Purification Strategies for Proteomic Analysis of Transcription Factor Complexes.,Journal of Proteome Research,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1111/j.1365-294X.2012.05634.x,Other publication costs, € 206.23 ,AFLP genome scans suggest divergent selection on colour patterning in allopatric colour morphs of a cichlid fish.,Molecular Ecology,WILEY-BLACKWELL,2012,,
10.1186/1472-6785-13-11,Gold Open Access," € 1,854.00 ",Age-related differences in the cloacal microbiota of a wild bird species.,BMC Ecology,BIOMED CENTRAL,2013,OA,
10.1016/j.bbalip.2013.06.004,Hybrid Open Access," € 2,676.26 ",Aging affects high-density lipoprotein composition and function.,Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids,ELSEVIER,2013,OA,
10.1095/biolreprod.112.104778,Other publication costs, € 998.08 ,AKT Isoforms 1 and 3 Regulate Basal and Epidermal Growth Factor-Stimulated SGHPL-5 Trophoblast Cell Migration in Humans.,Biology of Reproduction,SOCIETY FOR THE STUDY OF REPRODUCTION,2013,,
10.1016/j.chaos.2013.01.011,Hybrid Open Access," € 2,676.26 ",Algorithmic requirements for swarm intelligence in differently coupled collective systems.,"Chaos, Solitons and Fractals",ELSEVIER,2013,OA,
10.1002/iub.1143,Hybrid Open Access," € 2,400.00 ",Alkylglycerol monooxygenase.,IUBMB Life,WILEY-BLACKWELL,2013,OA,
10.1111/1755-0998.12110,Hybrid Open Access," € 2,400.00 ","Allelic imbalance metre (Allim), a new tool for measuring allele-specific gene expression with RNA-seq data.",Molecular Ecology Resources,WILEY-BLACKWELL,2013,OA,
10.1021/cb4002188,Hybrid Open Access," € 2,050.96 ",Allosteric Communication in the KIX Domain Proceeds through Dynamic Repacking of the Hydrophobic Core.,ACS chemical biology,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1021/jp407337q,Hybrid Open Access," € 1,969.01 ",Alloying and Structure of Ultrathin Gallium Films on the (111) and (110) Surfaces of Palladium.,Journal of Physical Chemistry C,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1063/1.4795590,Hybrid Open Access," € 1,705.42 ",Alloying-related trends from first principles: An application to the Ti–Al–X–N system.,Journal of Applied Physics,AMERICAN INSTITUTE OF PHYSICS (AIP),2013,OA,
10.1063/1.4795590,Other publication costs, € 387.60 ,Alloying-related trends from first principles: An application to the Ti–Al–X–N system.,Journal of Applied Physics,AMERICAN INSTITUTE OF PHYSICS (AIP),2013,OA,
10.1371/journal.pone.0079134,Gold Open Access," € 1,214.85 ",Alpha/beta-Hydrolase Domain Containing Protein 15 (ABHD15) – an Adipogenic Protein Protecting from Apoptosis.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1016/j.tics.2012.10.007,Hybrid Open Access," € 2,709.15 ","Alpha-band oscillations, attention, and controlled access to stored information.",Trends in Cognitive Sciences,ELSEVIER,2012,OA,
10.1111/jph.12130,Hybrid Open Access," € 2,788.41 ",Alterations in Root Exudation of Intercropped Tomato Mediated by the Arbuscular Mycorrhizal Fungus Glomus mosseae and the Soilborne Pathogen Fusarium oxysporum f.sp. lycopersici.,Journal of Phytopathology,WILEY-BLACKWELL,2013,OA,
10.1371/journal.pone.0060424,Gold Open Access," € 1,068.06 ",Alterations of Choroidal Blood Flow Regulation in Young Healthy Subjects with Complement Factor H Polymorphism.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1371/journal.pone.0076569,Gold Open Access," € 1,229.88 ",Alterations of the Transcriptome of Sulfolobus acidocaldarius by Exoribonuclease aCPSF2.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1016/j.neubiorev.2013.09.005,Hybrid Open Access," € 2,807.68 ",Altered likelihood of brain activation in attention and working memory networks in patients with multiple sclerosis: An ALE meta-analysis.,Neuroscience and Biobehavioral Reviews,ELSEVIER,2013,OA,
10.1002/eji.201141765,Other publication costs, € 980.00 ,"Ambivalent effects of dendritic cells displaying prostaglandin E2-induced indoleamine 2,3-dioxygenase.",European Journal of Immunology,WILEY-BLACKWELL,2012,,
10.1021/jf401960m,Hybrid Open Access," € 1,969.01 ",Ammoxidation of Lignocellulosic Materials: Formation of Nonheterocyclic Nitrogenous Compounds from Monosaccharides.,Journal of Agricultural and Food Chemistry,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1016/j.jmaa.2013.05.070,Hybrid Open Access," € 1,338.13 ",Amos-type bounds for modified Bessel function ratios.,Journal of Mathematical Analysis and Applications,ELSEVIER,2013,OA,
10.1073/pnas.1220552110,Hybrid Open Access, € 792.58 ,"Amphetamine actions at the serotonin transporter rely on the availability of phosphatidylinositol-4,5-bisphosphate.",Proceedings of the National Academy of Sciences of the United States of America,NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2013,OA,
10.1073/pnas.1220552110,Other publication costs, € 932.07 ,"Amphetamine actions at the serotonin transporter rely on the availability of phosphatidylinositol-4,5-bisphosphate.",Proceedings of the National Academy of Sciences of the United States of America,NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2013,OA,
10.1016/j.sna.2013.03.011,Hybrid Open Access," € 2,676.26 ",An acoustic transmission sensor for the longitudinal viscosity of fluids.,"Sensors and Actuators, A: Physical",ELSEVIER,2013,OA,
10.1016/j.cor.2012.04.007,Hybrid Open Access," € 2,709.03 ",An adaptive large neighborhood search heuristic for Two-Echelon Vehicle Routing Problems arising in city logistics,Computers and Operations Research,ELSEVIER,2012,OA,
10.1091/mbc.E12-12-0846,Hybrid Open Access," € 1,404.65 ",An analogue-sensitive approach identifies basal body rotation and flagellum attachment zone elongation as key functions of PLK in Trypanosoma brucei.,Molecular Biology of the Cell,AMERICAN SOCIETY FOR CELL BIOLOGY,2013,OA,
10.1007/s10726-012-9329-z,Hybrid Open Access," € 2,380.00 ",An Analytical Approach to Offer Generation in Concession-Based Negotiation Processes.,Group Decision and Negotiation,SPRINGER VERLAG,2012,OA,
10.1111/tpj.12170,Hybrid Open Access," € 2,400.00 ",An Arabidopsis ATPase gene involved in nematode-induced syncytium development and abiotic stress responses.,Plant Journal,WILEY-BLACKWELL,2013,OA,
10.1111/tpj.12170,Other publication costs, € 630.32 ,An Arabidopsis ATPase gene involved in nematode-induced syncytium development and abiotic stress responses.,Plant Journal,WILEY-BLACKWELL,2013,OA,
10.1016/j.tsf.2013.01.016,Hybrid Open Access," € 2,676.26 ",An elevated temperature study of a Ti adhesion layer on polyimide.,Thin Solid Films,ELSEVIER,2013,OA,
10.1088/1751-8113/45/36/365501,Hybrid Open Access," € 2,340.00 ",An exact solution for geophysical equatorial edge waves over a sloping beach.,Journal of Physics A: Mathematical and Theoretical,IOP PUBLISHING,2012,OA,
10.1002/mrm.24931,Hybrid Open Access," € 1,717.71 ",An improved trap design for decoupling multinuclear RF coils,Magnetic Resonance in Medicine,WILEY-BLACKWELL,2013,OA,
10.1016/j.micpro.2013.04.011,Hybrid Open Access," € 2,141.01 ",An infrastructure for accurate characterization of single-event transients in digital circuits.,Microprocessors and Microsystems,ELSEVIER,2013,OA,
10.1109/LGRS.2013.2254465,Hybrid Open Access," € 1,590.91 ",An object-based workflow to extract landforms at multiple scales from two distinct data types.,IEEE Geoscience and Remote Sensing Letters,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS (IEEE),2013,OA,
10.1021/jp404095x,Hybrid Open Access," € 1,969.01 ",An SCC-DFTB Repulsive Potential for Various ZnO Polymorphs and the ZnO–Water System.,Journal of Physical Chemistry C,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1007/s10265-012-0529-z,Other publication costs," € 1,165.02 ","Anagenetic speciation in Ullung Island, Korea: genetic diversity and structure in the island endemic species, Acer takesimense (Sapindaceae).",Journal of Plant Research,SPRINGER VERLAG,2012,OA,
10.1038/ncomms3784,Hybrid Open Access," € 4,440.00 ",Analogue encoding of physicochemical properties of proteins in their cognate messenger RNAs.,Nature Communications,NATURE PUBLISHING GROUP,2013,OA,
10.1007/s10712-012-9199-6,Hybrid Open Access," € 2,380.00 ","Analysing Debris-Flow Impact Models, Based on a Small Scale Modelling Approach.",Surveys in Geophysics,SPRINGER VERLAG,2013,OA,
10.1016/j.jvoice.2012.02.001,Hybrid Open Access," € 2,709.03 ",Analysis of Vocal Fold Function From Acoustic Data Simultaneously Recorded With High-Speed Endoscopy.,Journal of Voice,ELSEVIER,2012,OA,
10.1016/j.jnt.2012.08.029,Hybrid Open Access," € 1,354.57 ",Analysis of width-w non-adjacent forms to imaginary quadratic bases.,Journal of Number Theory,ELSEVIER,2013,OA,
10.1016/j.cca.2013.08.016,Hybrid Open Access," € 2,339.73 ",Analytical characterization and clinical evaluation of an enzyme-linked immunosorbent assay for measurement of afamin in human plasma.,Clinica Chimica Acta,ELSEVIER,2013,OA,
10.1016/j.ica.2013.03.044,Hybrid Open Access," € 2,676.26 ",Anionic lanthanide complexes with 3-methyl-1-phenyl-4-formylpyrazole-5-one and hydroxonium as counter ion.,Inorganica Chimica Acta,ELSEVIER,2013,OA,
10.1016/j.difgeo.2013.04.003,Hybrid Open Access," € 2,676.26 ",Anomaly formulas for the complex-valued analytic torsion on compact bordisms.,Differential Geometry and its Applications,ELSEVIER,2013,OA,
10.1016/j.taap.2013.05.012,Hybrid Open Access," € 2,676.26 ",Anti-addiction drug ibogaine inhibits voltage-gated ionic currents: A study to assess the drug's cardiac ion channel profile.,Toxicology and Applied Pharmacology,ELSEVIER,2013,OA,
10.1021/jz401721r,Hybrid Open Access," € 1,969.01 ",Anticorrelation between the Evolution of Molecular Dipole Moments and Induced Work Function Modifications.,Journal of Physical Chemistry Letters,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1111/tri.12021,Other publication costs, € 720.00 ,Anti-LFA-1 or rapamycin overcome costimulation blockade-resistant rejection in sensitized bone marrow recipients.,Transplant International,WILEY-BLACKWELL,2013,,
10.1038/embor.2013.47,Hybrid Open Access," € 3,999.60 ",Antisense regulation by transposon-derived RNAs in the hyperthermophilic archaeon Sulfolobus solfataricus.,EMBO Reports,NATURE PUBLISHING GROUP,2013,OA,
