PMID/PMCID,Publisher,Journal title,Article title,COST (£)
PMC317387,American Association of Immunologists,Journal of Immunology,IL-10 restricts activation-induced death of NK cells during acute murine cytomegalovirus infection,£678.27
20886892,American Chemical Society,ACS Chemical Biology,Hypoxia triggers major metabolic changes in AML cells without altering indomethacin-induced TCA cycle deregulation,"£1,250.00"
21410251,American Chemical Society,ACS Environmental Science and Technology,Metabolomics reveals target and off-target toxicities of a model organophosphate pesticide to roach (Rutilus rutilus): Implications for biomonitoring,"£1,250.00"
PMC 3093745,American Chemical Society,ACS Med Chem Letters,Synthesis and Biological Evaluation of JAHAs: Ferrocene-Based Histone Deacetylase Inhibitors,"£1,209.20"
20677807,American Chemical Society,Analytical Chemistry,top down analysis of protein tyrosine nitration: comparison of ECD with slow heating MS/MS methods,"£1,250.00"
21341716,American Chemical Society,Analytical Chemistry,hemoglobin variant analysis via direct surface sampling,"£1,235.00"
21105749,American Chemical Society,Biochemistry,Stability and membrane orientation of the fukutin transmembrane domain: a combined multiscale molecular dynamics and circular dicroism study,"£1,881.19"
21128685,American Chemical Society,Biochemistry,A Structural Study of Norovirus 3C Protease Specificity: Binding of a Designed Active Site-Directed Peptide Inhibitor.,"£1,227.30"
PMCID: PMC3140775,American Chemical Society,Biochemistry,Geometry and adhesion of extracellular domains of DC-SIGNR neck length variants analyzed by force-distance measurements,"£1,462.08"
PMC3153336,American Chemical Society,Biochemistry,NaChBac: the long lost sodium channel ancestor,"£1,250.00"
" PMC3092302
",American Chemical Society,Biochemistry,Structure and reaction mechanism in the heme dioxgenases,"£2,254.34"
PMC3039925,American Chemical Society,Bioconjugate Chemistry,In Situ Maleimide Bridging of Disulfides and a new Aproach to Protein PEGylation,"£1,284.11"
913-4969348,American Chemical Society,Chemical Reviews,Structural Analysis of Macromolecular Assemblies by Electron Microscopy,"£1,935.48"
"PMCID: PMC3076991
",American Chemical Society,Environmental Science & Technology ,Land use regression modelling to estimate historic (1962-1991) concentrations to black smoke and sulphur dioxide for Great Britain,"£1,247.66"
PMC2996106,American Chemical Society,J. Am. Chem. Soc,Intermolecular alignment in 2-Microglobulin amyloid fibrils,"£1,318.02"
PMID: 20919679,American Chemical Society,Journal of American Chemical Society,Engineered biocompatible nanoparticles for in vivo imaging applications.,"£1,260.53"
21542562,American Chemical Society,Journal of Medicinal Chemistry,Novel Lipophilic Authohydroxamic acid derivatives...,"£1,855.47"
21155575,American Chemical Society,Journal of Organic Chemistry,Synthesis of a Versatile Building Block for the Preparation of 6-N-Derivatized alpha-Galactosyl Ceramides: Rapid Access to Biologically Active Glycolipids,"£1,250.00"
20225815,American Chemical Society,Journal of Proteome Research,Differential phosphoproteomics of fibroblast growth factor signaling: identification of Src family kinase-mediated phosphorylation events,"£1,250.00"
20662485,American Chemical Society,Journal of Proteome Research,Proteomic analysi of a non invasive human model of acute contamination and its resolution : the 21st day gingintis model,"£1,250.00"
21158479,American Chemical Society,Journal of Proteome Research,Novel gylosylation sites localised in campylobalter jejuni flagellin flaa by lc eld mass spectonomy,"£1,235.00"
PMCID: PMC3117330,American Chemical Society,Journal of the American Chemical Society,Mechanistic insight into the nitrosylation of the [4Fe-4S] cluster of WhiB-like proteins,"£1,301.43"
PMC3091610,American Chemical Society,Journal of the American Chemical Society,High affinity glycopolymer binding to human DC-Sign and disruption of DC-sign interactions with HIV envelope glycoprotein,"£2,236.26"
21425779,American Chemical Society,Journal of the American Chemical Society,Rapid fluorescence based assay for classfication of inkt cell activating glycolipids,"£1,870.00"
PMID: 21765967,American Chemical Society,Medicinal Chemistry Letters,Screening for GPCR ligands using surface plasmon resonance,£952.31
PMCID: PMC3020087,American Chemical Society,Nano Letters,DNA Tunneling Detector Embedded in a Nanopore,"£1,500.92"
PMID:21174397,American Chemical Society,Organic Letters,Synthesis and stereochemical assignment of (+)- chamuvarinin,£392.31
PMCID: PMC3168866,American College of Chest Physicians,CHEST,COPD in Never-Smokers: Results from the population-based BOLD Study,"£1,868.58"
"PMC3109646
",American College of Chest Physicians,CHEST,"Procalcitonin and C reactive protein in hospitalised adult patients with community acquired pneumonia, exacerbation of asthma and chronic obstructive pulmonary disease.
","£2,275.41"
 PMC3168858,American College of Chest Physicians,CHEST,The role of computed tomography in multi-dimensional phenotyping of chronic obstructive pulomary disease,"£2,245.75"
2886605,American Physiological Society,American Journal of Physiology,VEGF in the lung: a role for novel isoforms,"£1,487.61"
PMC3094030,American Physiological Society,American Journal of Physiology - Lung Cellular and Molecular Physiology,Characterization of TNF receptor subtype expression and signaling on pulmonary endothelial cells in mice,"£1,229.64"
PMC3023227,American Physiological Society,American Journal of Physiology. Renal Physiology,Glyceraldehyde 3-phosphate dehydrogenase is required for band 3 (anion exchanger 1) membrane residency in the mammalian kidney,"£1,438.19"
"PMCID: PMC3063958
",American Physiological Society,American Journal of Physiology: Cell Physiology,Loss of Rab27 function results in abnormal lung epithelium structure in mice,"£1,199.04"
PMCID: PMC3137530,American Physiological Society,Journal of Applied Physiology,Sources of alveolar soluble TNF receptors during acute lung injury of different etiologies,"£1,199.04"
20133430,American Physiological Society,Journal of Applied Physiology,Using molecular classification to predict gains in maximal aerobic capacity following endurance exercise training in humans,£445.66
20930125,American Physiological Society,Journal of Applied Physiology,A transcriptional map of the impact of endurance excercise training on skeletal muscle phenotype,"£1,276.53"
PMC3118742,American Physiological Society,Journal of Neurophysiology,High-frequency EEG co-varies with spike burst patterns detected in cortical neurons,"£1,474.39"
PMID:21865437,American Physiological Society,Journal of Neurophysiology,Modulation and transmission of peripheral inputs in money cuneate and external cuneate nuclei,"£1,501.96"
PMID:21430284,American Physiological Society,Journal of Neurophysiology,Risk sensitivity in a motor task with speed-accuracy trade off,"£1,266.32"
3008767,American Psychological Association,American Journal of Psychiatry,Association Between a High-Risk Autism Locus on 5p14 and Social Communication Spectrum Phenotypes in the General Population,"£1,900.95"
,American Psychological Association,Behavioral Neuroscience,"Spatial learning based on boundaries in rats is hippocampus-dependant and prone to overshadowing.  Behavioral Neuroscience, 124, 623-632","£2,540.68"
,American Psychological Association,Behavioural Neuroscience,"The effect of catecholaminergic depletion within the prelimbic and infralimbic medial prefrontal cortex on recognition memory for recency, location, and objects","£2,599.14"
PMID: 21171757,American Psychological Association,Emotion,Impulsive Choice and Altruistic Punishment Are Correlated and Increase in Tamdem with Serotonin Depletion,"£1,223.99"
PMC3073491,American Psychological Association,Journal of Abnormal Psychology,Enhanced priming for trauma-related words predicts posttraumatic stress disorder,"£2,457.30"
PMC3002221,American Psychological Association,Journal of Experimental Psychology,Dilution: atheoretical burden or just load? A reply to Tsal and Benoni (2010).,"£2,568.22"
22021300,American Public Health Association,American Journal of Public Health,"Perception of risk of vertically-acquired HIV infection and acceptability of Provider-Initiated Testing & Counseling among adolescents in Zimbabwe
","£1,549.41"
PMC 2978577,American Society for Biochemistry and Molecular Biology,Biological Chemistry,6154090 3644306 A naturally occurring variant in human TLR,"£1,245.08"
PMC3020742,American Society for Biochemistry and Molecular Biology,Biological Chemistry,"6154715 3655631 Two human MYD88 variants, S34Y and R9","£1,235.66"
3137068,American Society for Biochemistry and Molecular Biology,Biological Chemistry,OXIDATION STATE-DEPENDENT PROTEIN-PROTEIN INTERACTIONS,"£1,255.73"
PMC 3000997,American Society for Biochemistry and Molecular Biology,Biological Chemistry,The dyslexia-associated KIAA0319 protein undergoes proteolytic processing with {gamma}-secretase-independent intramembrane cleavage.,"£1,253.38"
PMID: 21835922,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Early murine T-lymphocyte activation is accompanied by a switch from N-glycolyl- to N-acetyl-neuraminic acid and generation of ligands for siglec-E,£984.22
PMC3001007,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Characterization of the Properties of a Novel Mutation in VAPB in Familial Amyotrophic Lateral Sclerosis,"£1,607.02"
PMC 2978628,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,IMPLICATIONS FOR COLLAGEN BINDING FROM THE CR,"£1,293.55"
PMC 3075650,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Differential sensitivity of HIF hydroxylation,"£1,635.04"
21098480,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Malaria IMCI membrane skeleton proteins operate autonomously and participate in motility independently of cell shape,"£1,210.38"
PMC3037621,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Proteasome-independent degradation of canonical NFkB complex components by the NleC protein of pathogenic Escherichia coli,"£1,468.28"
,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Curcumin Modulates NF-KB-mediated inflammation in human tenocytes in vitro role of the phosphatidylinositol 3-kinase/AKT pathway,"£1,289.46"
PMCID: PMC2915670,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Foot-and-mouth disease virus protein 2C is a  hexameric AAA+ protein with a coordinated ATP hydrolysis mechanism""","£1,491.31"
PMC3196094,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Alternative splicing modulates inactivation of type 1 voltage-gated sodium channels by toggling an amino acid in the first S3-S4 linker,"£1,267.11"
PMCID: PMC3077646,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,An activity map of the Escherichia coli RNA polymerase bridge helix,"£1,094.83"
PMID: 20880839 ,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,An NAADP-gated two-pore channel targeted to the plasma membrane uncouples triggering from amplifying Ca2+ signals,"£1,222.00"
20926390,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Crystal Structure of leishmania major oligopeptidase B,"£1,804.00"
PMC3123102,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Differential distribution, clustering and lateral diffusion of subtypes of inositol 1,4,5-Triphosphate receptor","£1,234.34"
21724850,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Identification of bacterial target proteins for the salicylidene acylhydrazide class of virulence blocking compounds ,"£1,512.00"
PMCID: PMC3129213,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Identification of neutrophil granule glycoproteins as Lewisx-containing ligands cleared by the scavenger receptor C-type lectin,£911.30
"PMCID: PMC3121528
",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Mapping the i&[kappa]B kinase beta (ikk&[beta])-binding interface of B14, a vaccinia virus inhibitor of IKK&[beta]-mediated activation of nuclear factor kappa B","£1,199.04"
PMID: 21173144 ,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Membrane topology of NAADP-sensitive two-pore channels and their regulation by N-linked glycosylation,"£1,211.24"
21345801,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Nifurtimox activation by trypanosomal type I nitroreductases generates cytotoxic nitrile metabolites,"£1,262.14"
PMC3190942,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Palmitoylation mediates AKAP79 targeting to lipid rafts and regulation of the calcium sensitive adenyle cyclase type 8,£934.29
PMID:21324911,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Polynucleotide phosphorylase activity may be modulated by metabolites in Escherischia coli,"£1,207.95"
PMC3191007,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,SKAP1 PH domain determines RAPL membrane localization and Rap1 complex formation for TCR activation of LFA-1,"£1,487.82"
PMCID: PMC2952246,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,STRUCTURAL INSIGHTS INTO SERINE-RICH FIMBRIAE FROM GRAM-POSITIVE BACTERIA,"£1,339.70"
21098033,American Society for biochemistry and Molecular Biology,Journal of Biological Chemistry,Syk-dependent Phosphorylation of CLEC-2,"£1,250.00"
,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Tandem translation generates a chaperone for the salmonella type three secretion system protein SSA Q.,"£1,228.28"
PMCID: PMC3069435,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Type VI secretion system in Pseudomonas Aeruginosa: secretion and multimerization of VgrG proteins,"£1,438.68"
